#Depth	Raw_Count	Unique_Kmers
1247	4784737	3837
1248	4726577	3787
1249	4931224	3948
1250	4919892	3936
1251	4859562	3885
1252	4851431	3875
1253	4753768	3794
1254	4784814	3816
1255	4862975	3875
1256	4787819	3812
1257	4753961	3782
1258	4775933	3796
1259	4632401	3679
1260	4811750	3819
1261	4726695	3748
1262	4717504	3738
1263	4793781	3796
1264	4651965	3680
1265	4699867	3715
1266	4745251	3748
1267	4706046	3714
1268	4674838	3687
1269	4766964	3756
1270	4777048	3761
1271	4501011	3541
1272	4589446	3608
1273	4808388	3777
1274	4684462	3677
1275	4770945	3742
1276	4632428	3630
1277	4589159	3594
1278	4657018	3644
1279	4683988	3662
1280	4639101	3624
1281	4719248	3684
1282	4655476	3631
1283	4624753	3605
1284	4661682	3631
1285	4703774	3661
1286	4634157	3604
1287	4588498	3565
1288	4655468	3614
1289	4629811	3592
1290	4544167	3523
1291	4663053	3612
1292	4682108	3624
1293	4576474	3539
1294	4692228	3626
1295	4670109	3606
1296	4651477	3589
1297	4712673	3634
1298	4516850	3480
1299	4642158	3574
1300	4570726	3516
1301	4644071	3570
1302	4578885	3517
1303	4595632	3527
1304	4608189	3534
1305	4691826	3595
1306	4536487	3474
1307	4512540	3453
1308	4636756	3545
1309	4469868	3415
1310	4596894	3509
1311	4449811	3394
1312	4665660	3556
1313	4537009	3455
1314	4589174	3493
1315	4725906	3594
1316	4530921	3443
1317	4646309	3528
1318	4578494	3474
1319	4543581	3445
1320	4402123	3335
1321	4582395	3469
1322	4519041	3418
1323	4552902	3441
1324	4561659	3445
1325	4380417	3306
1326	4467920	3369
1327	4542918	3423
1328	4480046	3374
1329	4378815	3295
1330	4315689	3245
1331	4503599	3384
1332	4363269	3276
1333	4538272	3405
1334	4418862	3312
1335	4551331	3409
1336	4488637	3360
1337	4363083	3263
1338	4480746	3349
1339	4488341	3352
1340	4461541	3330
1341	4265083	3181
1342	4416500	3291
1343	4480299	3336
1344	4424695	3292
1345	4485600	3335
1346	4643218	3450
1347	4390828	3260
1348	4406872	3269
1349	4471558	3315
1350	4355821	3227
1351	4452521	3296
1352	4405685	3259
1353	4398600	3251
1354	4280231	3161
1355	4340179	3203
1356	4352505	3210
1357	4343171	3201
1358	4322805	3183
1359	4383465	3226
1360	4292717	3156
1361	4372164	3212
1362	4335338	3183
1363	4384340	3217
1364	4438756	3254
1365	4369832	3201
1366	4278165	3132
1367	4221664	3088
1368	4383827	3205
1369	4330238	3163
1370	4314174	3149
1371	4267008	3112
1372	4277629	3118
1373	4327195	3152
1374	4453447	3241
1375	4339031	3156
1376	4403561	3200
1377	4541997	3298
1378	4382324	3180
1379	4167656	3022
1380	4230827	3066
1381	4283005	3101
1382	4312139	3120
1383	4311195	3117
1384	4442019	3210
1385	4318115	3118
1386	4290983	3096
1387	4254783	3068
1388	4285883	3088
1389	4285857	3086
1390	4225159	3040
1391	4261882	3064
1392	4335300	3114
1393	4383484	3147
1394	4367806	3133
1395	4421838	3170
1396	4140451	2966
1397	4262572	3051
1398	4296256	3073
1399	4372608	3126
1400	4468791	3192
1401	4163426	2972
1402	4305295	3071
1403	4236560	3020
1404	4267354	3039
1405	4291770	3055
1406	4303860	3061
1407	4167357	2962
1408	4351925	3091
1409	4197000	2979
1410	4293657	3045
1411	4262072	3021
1412	4172027	2955
1413	4271698	3023
1414	4146953	2933
1415	4090287	2891
1416	4318223	3050
1417	4101461	2894
1418	4326688	3051
1419	4231295	2982
1420	4174835	2940
1421	4261928	2999
1422	4115136	2894
1423	4315160	3032
1424	4148071	2913
1425	4097604	2876
1426	4197556	2944
1427	4247701	2977
1428	4136073	2896
1429	4306309	3014
1430	4131438	2889
1431	4156827	2905
1432	4142379	2893
1433	4167112	2908
1434	4222116	2944
1435	4095353	2854
1436	4299346	2994
1437	4084783	2843
1438	4150377	2886
1439	4065774	2825
1440	4179286	2902
1441	4172061	2895
1442	4089714	2836
1443	4099324	2841
1444	4201729	2910
1445	4194083	2902
1446	4149790	2870
1447	4120436	2848
1448	4196606	2898
1449	4255837	2937
1450	4061269	2801
1451	4182985	2883
1452	4118884	2837
1453	4196309	2888
1454	4135487	2844
1455	4095823	2815
1456	4101934	2817
1457	4116076	2825
1458	4169539	2860
1459	4071014	2790
1460	4028984	2760
1461	4038864	2764
1462	4116187	2815
1463	4165719	2847
1464	4074690	2783
1465	4040092	2758
1466	4237349	2890
1467	3953908	2695
1468	4099932	2793
1469	4098339	2790
1470	4028798	2741
1471	4067575	2765
1472	4130503	2806
1473	4015889	2726
